WorkOrderID,AssetID,Plant,Vendor,Department,Priority,Status,Problem,RootCause,Reported,Resolved,BudgetGBP,ActualGBP,Variance,DowntimeHours,LostMWh,Risk,Severity,Compliance,AuditScore,Inspector,AssetAge,ReactorType,InventoryPart,InventoryLevel,ReorderPoint,ProcurementDelay,MaintenanceType,LabourHours,Technicians,RadiationZone,DosemSv,Regulation,FineGBP,ContractValue,PaymentStatus,ForecastCost,FailureCount,InspectionFreqDays,Comments
WO00627,A1220,Diablo Canyon,Vendor_30,Ops,P4,In Progress,Valve Leak,Design,2022-03-16,2022-03-19,17478,5655,-11823,48.5,614.2,36,Medium,Compliant,65.0,EMP158,13,PWR,P1018,154,12,53,Predictive,5.5,6,C,0.37,NRC,0,116975,Paid,44991,6,365,urgent
WO00628,A1202,Diablo Canyon,Vendor_8,Safety,P2,In Progress,Inspection Overdue,Ageing,06/11/2023,2023-12-04,344315,463762,119447,18.8,284.8,37,High,Pending,,EMP950,6,PHWR,P1142,351,96,59,Corrective,22.8,8,A,16.7,STUK,11750,824503,Overdue,361894,11,90,
WO00629,A1160,Heysham 1,Vendor_18,Safety,P4,Open,Valve Leak,Design,09/07/2022,2022-07-15,204528,251475,46947,6.0,330.6,44,Medium,compliant,,EMP459,27,PWR,P1423,280,80,33,Emergency,5.0,8,D,5.41,STUK,21693,28033,Paid,229599,1,365,repeat issue 
WO00630,A1123,Diablo Canyon,Vendor_30,Finance,P1,Closed,Sensor Fault,Ageing,2025-03-20,2025-05-10,221679,285042,63363,84.5,888.7,62,Critical,compliant,,EMP689,19,AGR,P1161,306,47,74,Predictive,12.7,6,D,11.85,STUK,0,66590,Overdue,242477,0,180,await docs
WO00631,A1205,Sizewell B,Vendor_12,Maint,P1,Cancelled,Inventory Shortage,Ageing,2023-06-03,2023-06-08,460276,489494,29218,24.7,373.2,45,High,Compliant,70.0,EMP597,19,PHWR,P1443,252,66,26,Preventive,58.6,7,D,6.42,STUK,0,423933,Pending,490942,5,365,repeat issue 
WO00632,A1049,Torness,Vendor_20,Procurement,P4,Open,Sensor Fault,Human Error,09/08/2023,,249289,362196,112907,69.3,775.8,77,Low,Compliant,77.0,EMP239,37,BWR,P1474,285,23,24,Corrective,64.8,1,D,16.81,CNSC,0,45612,Pending,283696,2,90,
WO00633,A1286,Torness,Vendor_23,Engineering,P5,In Progress,Sensor Fault,Ageing,13/11/2023,2024-01-09,166694,209707,43013,79.5,771.7,4,Critical,Non-Compliant,72.0,EMP353,44,PHWR,P1415,65,33,10,Corrective,24.4,6,C,2.41,STUK,0,651372,Overdue,157115,9,30,
WO00634,A1163,Torness,Vendor_9,Procurement,P3,In Progress,Inventory Shortage,Human Error,26/07/2024,2024-09-18,225618,270712,45094,84.9,353.2,28,Medium,Non-Compliant,44.0,EMP303,45,AGR,P1215,105,104,84,Corrective,64.5,1,C,16.68,CNSC,0,510603,Overdue,231566,10,365,
WO00635,A1276,Diablo Canyon,Vendor_5,Procurement,P3,In Progress,Pump Failure,Ageing,2024-09-06,2024-09-12,182193,223657,41464,55.6,414.9,70,Critical,Non-Compliant,88.0,EMP631,29,PWR,P1214,66,91,26,Corrective,23.4,5,D,4.43,ONR,0,916669,Paid,227350,12,30,repeat issue 
WO00636,A1167,Olkiluoto 3,Vendor_10,Finance,P4,Closed,Valve Leak,Ageing,2023-07-13,2023-07-11,29007,115816,86809,22.0,740.6,86,Low,Pending,,EMP563,15,PHWR,P1217,374,22,21,Predictive,67.7,7,C,7.27,NRC,19251,542662,Overdue,77270,12,365,N/A
WO00637,A1049,Diablo Canyon,Vendor_21,Maint,P1,Open,Inspection Overdue,Ageing,01/10/2022,2022-10-20,128635,119377,-9258,85.6,684.4,88,Low,compliant,50.0,EMP664,24,BWR,P1166,464,112,72,Preventive,49.5,8,B,10.32,ONR,0,893347,Pending,161866,1,365,urgent
WO00638,A1026,Diablo Canyon,Vendor_23,Engineering,P3,In Progress,Calibration Drift,Design,14/02/2025,2025-03-08,482150,465843,-16307,65.1,315.1,62,High,Non-Compliant,,EMP185,1,SMR,P1063,367,96,67,Predictive,75.8,3,B,3.4,ONR,0,700635,Paid,521164,3,30,await docs
WO00639,A1056,Diablo Canyon,Vendor_23,Maint,P3,Closed,Inspection Overdue,Design,2024-03-09,2024-04-22,357600,326005,-31595,26.0,396.9,22,Critical,Pending,,EMP737,34,PHWR,P1386,463,94,79,Preventive,74.4,6,D,15.65,STUK,0,655043,Paid,366654,5,365,await docs
WO00640,A1096,Diablo Canyon,Vendor_24,Maint,P2,In Progress,Inspection Overdue,Vendor Delay,2024-09-24,2024-11-22,228149,272033,43884,30.6,539.7,52,Low,Compliant,82.0,EMP466,40,AGR,P1184,258,19,74,Corrective,20.6,6,D,12.63,NRC,42550,447947,Paid,212312,3,365,N/A
WO00641,A1158,Bruce A,Vendor_17,Procurement,P4,Open,Sensor Fault,Ageing,2022-03-28,2022-05-08,337065,452014,114949,36.0,561.4,12,Medium,Pending,100.0,EMP978,1,PHWR,P1454,17,113,15,Corrective,25.7,1,A,17.69,CNSC,0,349917,Pending,364008,10,365,urgent
WO00642,A1178,Bruce A,Vendor_21,Procurement,P2,Open,Inspection Overdue,Design,15/08/2024,2024-10-14,167601,246687,79086,61.8,898.0,26,Medium,Non-Compliant,,EMP810,18,PHWR,P1456,50,84,3,Emergency,50.5,5,D,16.94,CNSC,0,217334,Paid,153363,7,90,repeat issue 
WO00643,A1056,Sizewell B,Vendor_19,Maint,P4,In Progress,Inventory Shortage,Unknown,2024-12-06,2025-01-13,98531,144546,46015,88.5,228.1,55,Low,Pending,95.0,EMP514,20,SMR,P1386,401,35,33,Emergency,36.6,7,A,17.45,CNSC,0,680685,Paid,120857,3,365,N/A
WO00644,A1072,Heysham 1,Vendor_17,Finance,P1,Cancelled,Calibration Drift,Design,2025-07-09,2025-07-20,237175,224031,-13144,15.1,487.5,71,Critical,Pending,97.0,EMP748,17,SMR,P1061,-2,16,26,Emergency,11.0,7,B,1.85,STUK,60876,215924,Paid,236195,8,90,urgent
WO00645,A1255,Heysham 1,Vendor_10,Engineering,P2,Cancelled,Inventory Shortage,Vendor Delay,2022-01-20,2022-01-31,429236,461062,31826,90.2,704.0,48,High,compliant,,EMP293,7,AGR,P1203,289,34,60,Emergency,71.2,5,B,12.34,NRC,0,713429,Pending,467771,6,365,urgent
WO00646,A1195,Bruce A,Vendor_12,Engineering,P4,Closed,Valve Leak,Unknown,2022-07-21,2022-08-09,243820,232831,-10989,26.8,24.8,12,Medium,Pending,81.0,EMP395,19,SMR,P1039,282,46,88,Preventive,47.5,7,A,13.66,ONR,0,764174,Overdue,262762,1,365,repeat issue 
WO00647,A1198,Heysham 1,Vendor_22,Finance,P1,Cancelled,Valve Leak,Human Error,2023-06-01,,122820,194570,71750,34.5,351.0,1,Critical,Non-Compliant,,EMP769,31,BWR,P1160,91,46,4,Predictive,20.1,2,B,17.61,NRC,0,732733,Overdue,158739,0,365,urgent
WO00648,A1069,Sizewell B,Vendor_16,Ops,P2,Closed,Valve Leak,Design,2023-12-24,2024-01-14,96585,116174,19589,57.7,464.5,69,Medium,Non-Compliant,,EMP528,34,AGR,P1407,331,33,55,Emergency,25.5,8,D,11.29,CNSC,0,313210,Pending,98530,9,365,await docs
WO00649,A1145,Heysham 1,Vendor_11,Maint,P2,Closed,Inspection Overdue,Ageing,2025-06-14,2025-07-20,155617,135354,-20263,1.5,378.2,72,Critical,compliant,78.0,EMP381,28,BWR,P1161,428,18,78,Corrective,72.4,8,A,9.45,ONR,0,485413,Pending,192496,0,365,
WO00650,A1200,Bruce A,Vendor_23,Engineering,P4,Cancelled,Inspection Overdue,Human Error,2023-08-10,,243912,224341,-19571,88.2,155.8,14,High,compliant,65.0,EMP763,45,SMR,P1347,128,99,48,Predictive,79.6,8,C,14.07,CNSC,0,441925,Paid,235316,4,365,urgent
WO00651,A1064,Olkiluoto 3,Vendor_5,Finance,P3,Closed,Calibration Drift,Ageing,2024-05-31,,78874,70520,-8354,75.8,438.0,46,Medium,Non-Compliant,95.0,EMP633,10,BWR,P1250,404,42,86,Corrective,44.6,5,B,5.06,STUK,0,117486,Paid,86117,1,30,urgent
WO00652,A1220,Sizewell B,Vendor_14,Maint,P4,Cancelled,Pump Failure,Ageing,2024-09-05,2024-10-17,269675,358464,88789,92.8,135.2,82,High,Non-Compliant,,EMP249,10,PHWR,P1103,58,111,32,Corrective,25.8,1,B,0.82,NRC,0,934876,Overdue,304444,2,180,repeat issue 
WO00653,A1298,Olkiluoto 3,Vendor_11,Engineering,P4,Open,Sensor Fault,Human Error,05/12/2022,2023-01-18,206781,314946,108165,76.4,814.4,55,Critical,Pending,,EMP189,21,PWR,P1428,379,101,54,Preventive,78.2,3,A,4.96,CNSC,0,491077,Pending,212604,1,180,
WO00654,A1126,Torness,Vendor_1,Maint,P5,In Progress,Inspection Overdue,Ageing,2023-08-01,2023-08-06,177202,178230,1028,34.6,766.1,12,Low,Compliant,64.0,EMP800,4,BWR,P1104,280,44,32,Preventive,20.7,4,B,9.75,NRC,0,856411,Pending,197738,7,180,
WO00655,A1182,Torness,Vendor_28,Safety,P1,In Progress,Sensor Fault,Human Error,22/08/2023,2023-09-14,61134,116501,55367,61.1,857.0,75,Low,Compliant,90.0,EMP842,44,BWR,P1318,481,85,25,Emergency,24.8,5,B,7.01,NRC,0,979217,Paid,98686,11,180,
WO00656,A1007,Olkiluoto 3,Vendor_7,Maint,P3,Closed,Sensor Fault,Unknown,2022-10-29,2022-12-10,355309,377961,22652,88.2,120.0,20,Critical,compliant,72.0,EMP983,25,SMR,P1447,30,27,10,Predictive,36.0,8,B,7.17,ONR,0,610312,Overdue,358720,9,365,repeat issue 
WO00657,A1095,Diablo Canyon,Vendor_1,Engineering,P1,Cancelled,Pump Failure,Design,17/04/2022,2022-06-06,275156,243301,-31855,41.3,554.8,1,Medium,Compliant,54.0,EMP516,39,PWR,P1223,313,14,1,Emergency,48.0,4,B,16.18,CNSC,0,311523,Paid,323924,12,90,repeat issue 
WO00658,A1256,Olkiluoto 3,Vendor_30,Finance,P1,Cancelled,Inventory Shortage,Vendor Delay,2025-10-05,,7628,105874,98246,83.1,443.2,16,Critical,Pending,56.0,EMP939,1,AGR,P1212,14,31,1,Corrective,44.9,3,C,10.01,STUK,0,279384,Pending,32856,4,180,await docs
WO00659,A1101,Diablo Canyon,Vendor_16,Safety,P4,Closed,Sensor Fault,Human Error,2022-04-24,2022-04-28,346973,341147,-5826,16.5,52.5,53,Medium,Pending,86.0,EMP107,22,PWR,P1114,69,118,63,Predictive,21.1,1,C,9.67,CNSC,62510,241619,Pending,337995,8,180,await docs
WO00660,A1281,Sizewell B,Vendor_24,Procurement,P4,Closed,Inventory Shortage,Vendor Delay,11/06/2025,2025-06-18,242090,362028,119938,30.3,204.9,27,Critical,Pending,55.0,EMP149,35,PHWR,P1083,93,117,44,Emergency,49.8,5,A,8.18,CNSC,0,682249,Overdue,262989,5,30,urgent
WO00661,A1131,Torness,Vendor_14,Maint,P3,Cancelled,Calibration Drift,Design,2023-08-29,2023-10-12,307734,411572,103838,17.2,34.7,65,High,Pending,,EMP807,28,PHWR,P1306,236,17,47,Predictive,36.0,2,D,11.59,STUK,0,564002,Pending,293944,7,365,N/A
WO00662,A1006,Bruce A,Vendor_5,Engineering,P1,Cancelled,Pump Failure,Design,30/03/2024,2024-05-29,424182,398175,-26007,12.1,578.3,4,Medium,compliant,53.0,EMP983,26,AGR,P1379,76,119,47,Predictive,71.8,1,A,4.45,STUK,0,374428,Pending,460675,12,180,
WO00663,A1219,Olkiluoto 3,Vendor_7,Procurement,P2,Cancelled,Calibration Drift,Vendor Delay,06/05/2023,2023-05-25,378508,360516,-17992,47.9,362.5,58,Medium,Compliant,,EMP917,10,PWR,P1423,18,78,83,Predictive,70.8,6,D,1.83,ONR,42018,334842,Pending,389180,11,90,urgent
WO00664,A1031,Sizewell B,Vendor_11,Finance,P3,Cancelled,Sensor Fault,Unknown,2025-07-04,2025-08-31,267971,360140,92169,26.6,696.9,21,High,compliant,,EMP708,4,BWR,P1420,471,59,25,Preventive,46.0,8,C,0.28,CNSC,0,558007,Paid,299328,5,180,repeat issue 
WO00665,A1108,Bruce A,Vendor_5,Finance,P3,Open,Valve Leak,Ageing,03/09/2023,2023-10-03,19452,32763,13311,0.6,818.8,82,Low,Compliant,83.0,EMP318,21,SMR,P1374,76,87,71,Emergency,61.5,2,D,6.78,ONR,0,663588,Overdue,6709,9,180,await docs
WO00666,A1061,Diablo Canyon,Vendor_19,Engineering,P5,Closed,Inspection Overdue,Vendor Delay,23/04/2025,2025-05-03,383384,415545,32161,56.5,654.2,63,Critical,Compliant,,EMP400,29,SMR,P1472,50,68,66,Corrective,31.8,1,A,13.9,NRC,0,733086,Pending,424765,10,365,N/A
WO00667,A1249,Sizewell B,Vendor_8,Finance,P3,In Progress,Pump Failure,Unknown,2024-05-19,2024-07-09,444039,501308,57269,16.9,474.8,29,Medium,Compliant,,EMP740,15,AGR,P1006,299,64,72,Preventive,22.4,8,B,3.61,NRC,0,375793,Pending,432491,12,365,N/A
WO00668,A1198,Diablo Canyon,Vendor_5,Procurement,P4,Cancelled,Sensor Fault,Vendor Delay,17/08/2023,2023-10-04,443780,405264,-38516,47.5,864.8,26,Medium,Non-Compliant,,EMP621,22,PHWR,P1280,4,93,81,Corrective,41.1,5,D,4.05,ONR,0,134438,Pending,492631,10,180,
WO00669,A1216,Diablo Canyon,Vendor_24,Procurement,P1,In Progress,Calibration Drift,Human Error,22/02/2025,,167801,192386,24585,15.7,328.3,1,Low,Non-Compliant,68.0,EMP973,15,PWR,P1378,219,102,55,Emergency,74.9,3,B,3.63,ONR,0,132453,Pending,200401,1,180,N/A
WO00670,A1214,Olkiluoto 3,Vendor_22,Ops,P5,In Progress,Pump Failure,Human Error,2023-09-25,,6424,27663,21239,91.4,774.5,61,Medium,Compliant,,EMP542,5,PHWR,P1306,169,119,49,Preventive,10.5,6,A,17.3,ONR,36029,229090,Paid,-9190,4,90,repeat issue 
WO00671,A1268,Bruce A,Vendor_29,Procurement,P1,In Progress,Pump Failure,Vendor Delay,2024-10-03,2024-11-01,417816,509088,91272,14.2,250.8,53,Critical,Pending,,EMP140,33,SMR,P1097,60,30,71,Preventive,22.8,8,B,3.14,ONR,0,497437,Pending,402449,6,30,await docs
WO00672,A1037,Olkiluoto 3,Vendor_9,Procurement,P3,Closed,Calibration Drift,Ageing,03/05/2023,2023-05-30,234591,242009,7418,3.7,593.8,68,High,Pending,,EMP709,15,BWR,P1444,189,48,11,Corrective,20.0,1,C,9.84,CNSC,0,944455,Paid,251891,10,365,
WO00673,A1191,Sizewell B,Vendor_29,Engineering,P3,Closed,Calibration Drift,Ageing,2024-08-09,2024-09-20,339717,328894,-10823,16.8,586.1,11,High,Non-Compliant,46.0,EMP214,28,PHWR,P1336,219,52,14,Corrective,67.0,8,A,15.24,CNSC,0,75424,Pending,322051,11,90,repeat issue 
WO00674,A1233,Sizewell B,Vendor_1,Finance,P3,Closed,Calibration Drift,Unknown,2023-09-22,2023-10-02,249112,227449,-21663,20.8,635.4,23,High,Non-Compliant,80.0,EMP545,31,PWR,P1263,237,43,27,Predictive,57.8,4,C,13.31,STUK,49588,863754,Overdue,250751,11,180,
WO00675,A1146,Heysham 1,Vendor_23,Procurement,P5,Cancelled,Sensor Fault,Vendor Delay,08/11/2022,2022-11-23,70298,123341,53043,93.9,618.9,67,Critical,Non-Compliant,79.0,EMP725,12,PHWR,P1423,295,119,22,Preventive,44.4,8,D,10.76,ONR,0,887274,Paid,77584,9,30,await docs
WO00676,A1295,Bruce A,Vendor_6,Ops,P1,Cancelled,Inventory Shortage,Unknown,2023-04-02,2023-04-27,58744,113913,55169,44.7,230.3,88,Critical,Pending,,EMP706,25,AGR,P1009,61,101,5,Corrective,65.2,5,B,11.03,STUK,0,739390,Paid,72081,6,180,urgent
WO00677,A1107,Torness,Vendor_12,Engineering,P4,Cancelled,Calibration Drift,Vendor Delay,2024-05-21,2024-06-23,446095,441309,-4786,5.3,809.8,87,Critical,Pending,65.0,EMP714,25,AGR,P1179,313,37,31,Corrective,67.3,5,C,12.5,CNSC,48098,885099,Pending,459004,1,365,urgent
WO00678,A1235,Heysham 1,Vendor_29,Safety,P3,Closed,Valve Leak,Unknown,2023-05-04,2023-06-14,175017,221882,46865,78.5,359.4,25,Medium,Pending,,EMP138,25,SMR,P1425,18,56,89,Corrective,49.4,2,A,14.09,NRC,0,758658,Overdue,161637,11,90,N/A
WO00679,A1089,Torness,Vendor_27,Maint,P5,Closed,Pump Failure,Design,2025-06-20,2025-07-23,29868,95635,65767,79.2,325.9,67,Critical,Non-Compliant,,EMP427,5,BWR,P1093,77,60,57,Corrective,71.5,5,A,16.2,CNSC,0,909846,Overdue,51334,9,90,urgent
WO00680,A1018,Olkiluoto 3,Vendor_15,Procurement,P1,Closed,Sensor Fault,Unknown,08/12/2022,2023-02-06,403141,510452,107311,31.5,71.8,50,Medium,compliant,78.0,EMP609,27,PWR,P1400,79,16,77,Emergency,48.5,6,B,8.0,STUK,0,82968,Pending,440211,12,180,N/A
WO00681,A1196,Olkiluoto 3,Vendor_29,Procurement,P1,Cancelled,Inspection Overdue,Unknown,2022-06-16,2022-06-25,236478,223734,-12744,71.5,406.3,4,Medium,Non-Compliant,82.0,EMP147,9,AGR,P1445,198,52,1,Emergency,78.3,1,D,10.47,STUK,49070,112635,Overdue,223522,3,365,await docs
WO00682,A1080,Heysham 1,Vendor_15,Ops,P1,Closed,Inspection Overdue,Design,2024-06-22,2024-07-10,261673,326681,65008,70.4,735.9,19,Critical,compliant,87.0,EMP803,17,PHWR,P1446,297,10,7,Preventive,65.1,4,A,3.28,CNSC,0,738105,Paid,268640,11,365,urgent
WO00683,A1066,Heysham 1,Vendor_16,Safety,P2,Closed,Inspection Overdue,Vendor Delay,27/05/2024,2024-07-21,297251,287059,-10192,55.9,153.4,18,Medium,Pending,46.0,EMP798,42,BWR,P1396,215,112,84,Corrective,31.7,4,A,17.33,STUK,0,800245,Paid,313552,9,365,await docs
WO00684,A1118,Olkiluoto 3,Vendor_18,Maint,P1,In Progress,Valve Leak,Ageing,2022-03-11,2022-03-26,101704,89045,-12659,65.1,358.6,39,High,Non-Compliant,69.0,EMP537,16,AGR,P1094,433,79,18,Corrective,40.7,8,A,12.64,CNSC,0,689948,Overdue,138903,11,90,urgent
WO00685,A1108,Sizewell B,Vendor_12,Ops,P1,Closed,Calibration Drift,Unknown,2022-10-01,2022-11-11,356647,449598,92951,30.8,413.2,10,Critical,compliant,,EMP492,7,AGR,P1240,193,20,56,Corrective,51.3,7,C,8.37,STUK,0,201372,Pending,389075,2,30,
WO00686,A1060,Torness,Vendor_6,Safety,P5,In Progress,Sensor Fault,Unknown,2023-05-14,,359251,322666,-36585,45.4,290.7,42,Low,compliant,,EMP711,2,AGR,P1451,71,32,31,Predictive,79.9,7,A,17.04,STUK,0,130528,Pending,348460,7,365,repeat issue 
WO00687,A1272,Sizewell B,Vendor_27,Safety,P2,Open,Pump Failure,Unknown,12/08/2022,2022-09-08,184384,262176,77792,70.5,135.0,23,Low,Pending,64.0,EMP377,11,PWR,P1478,146,12,78,Preventive,36.5,4,C,1.34,CNSC,26982,722362,Pending,177611,1,90,urgent
WO00688,A1144,Heysham 1,Vendor_6,Safety,P2,In Progress,Sensor Fault,Design,2023-01-18,2023-02-12,309797,337954,28157,57.1,236.2,99,Critical,compliant,,EMP404,14,PWR,P1131,305,92,74,Predictive,18.6,6,C,3.49,ONR,66078,559709,Paid,311201,7,365,repeat issue 
WO00689,A1098,Diablo Canyon,Vendor_1,Maint,P4,Open,Sensor Fault,Vendor Delay,2024-04-22,2024-06-09,233639,231855,-1784,1.7,55.5,72,High,Compliant,42.0,EMP674,18,BWR,P1376,150,52,78,Corrective,60.6,5,A,11.2,STUK,88580,28490,Overdue,215514,7,90,N/A
WO00690,A1143,Bruce A,Vendor_30,Engineering,P5,Open,Calibration Drift,Human Error,07/04/2022,2022-04-07,279056,364065,85009,38.2,430.4,61,Low,Non-Compliant,65.0,EMP546,10,PWR,P1425,44,83,17,Predictive,76.3,3,B,11.32,ONR,0,961407,Overdue,306438,12,180,repeat issue 
WO00691,A1140,Diablo Canyon,Vendor_20,Ops,P1,Closed,Valve Leak,Design,2025-07-14,2025-08-27,195403,259027,63624,54.4,740.4,65,Critical,Non-Compliant,,EMP168,23,PWR,P1311,401,58,5,Predictive,77.5,2,D,15.83,STUK,25611,653969,Pending,235368,7,90,
WO00692,A1259,Heysham 1,Vendor_11,Safety,P1,Cancelled,Calibration Drift,Human Error,2023-04-10,2023-04-23,61440,48673,-12767,2.0,145.6,99,Critical,Non-Compliant,,EMP195,22,BWR,P1407,202,98,56,Corrective,72.9,3,C,16.84,NRC,0,190379,Paid,57990,6,30,repeat issue 
WO00693,A1078,Sizewell B,Vendor_27,Maint,P2,Open,Valve Leak,Design,06/05/2024,2024-05-16,133830,192367,58537,54.6,623.3,17,High,Non-Compliant,88.0,EMP594,22,BWR,P1369,449,74,84,Corrective,37.1,4,D,6.4,NRC,0,873349,Pending,128987,4,90,N/A
WO00694,A1080,Sizewell B,Vendor_1,Ops,P5,Open,Pump Failure,Unknown,2022-05-27,2022-06-02,286728,342717,55989,42.9,686.0,39,Medium,Compliant,,EMP934,11,PHWR,P1193,348,110,29,Predictive,49.1,5,A,14.29,ONR,0,195088,Pending,275918,2,90,N/A
WO00695,A1249,Olkiluoto 3,Vendor_1,Engineering,P5,Closed,Sensor Fault,Ageing,2022-06-23,2022-07-19,104062,65000,-39062,26.1,470.7,98,Medium,compliant,77.0,EMP720,11,AGR,P1387,119,21,65,Corrective,57.4,4,D,17.22,NRC,0,445535,Pending,138165,1,90,N/A
WO00696,A1069,Heysham 1,Vendor_27,Safety,P5,Open,Calibration Drift,Ageing,2023-10-24,2023-10-23,461834,529479,67645,21.8,332.3,74,Low,Pending,,EMP582,10,SMR,P1372,106,46,19,Corrective,68.5,7,D,2.63,ONR,0,774607,Paid,485929,11,365,N/A
WO00697,A1036,Sizewell B,Vendor_3,Finance,P5,In Progress,Calibration Drift,Ageing,29/08/2022,2022-10-26,89693,107354,17661,81.0,234.0,59,Critical,Compliant,,EMP324,38,PHWR,P1216,203,35,-2,Emergency,58.7,6,D,12.93,STUK,67099,905644,Overdue,118043,3,180,N/A
WO00698,A1254,Bruce A,Vendor_15,Procurement,P4,Closed,Valve Leak,Design,25/05/2022,2022-05-25,393283,403811,10528,95.3,421.9,51,High,compliant,,EMP978,8,BWR,P1275,288,92,56,Corrective,2.1,4,A,4.36,CNSC,0,397338,Paid,422291,8,90,urgent
WO00699,A1173,Olkiluoto 3,Vendor_27,Finance,P3,Open,Valve Leak,Human Error,2022-08-27,2022-10-01,107674,210596,102922,27.2,284.0,17,Critical,compliant,91.0,EMP396,5,SMR,P1030,91,43,88,Corrective,8.6,5,B,17.6,STUK,0,422220,Paid,113146,8,365,N/A
WO00700,A1253,Torness,Vendor_6,Procurement,P5,Cancelled,Sensor Fault,Vendor Delay,02/10/2023,2023-10-10,467958,434304,-33654,94.6,491.8,20,Medium,compliant,,EMP701,9,PHWR,P1010,238,84,56,Corrective,26.7,6,D,11.83,NRC,0,287965,Pending,454515,2,90,urgent
WO00701,A1159,Olkiluoto 3,Vendor_23,Maint,P4,In Progress,Calibration Drift,Human Error,2024-02-13,2024-03-22,138443,130313,-8130,5.5,593.2,50,Medium,Non-Compliant,93.0,EMP512,27,PWR,P1252,235,26,26,Corrective,15.8,2,B,14.02,STUK,0,272921,Paid,130143,6,30,
WO00702,A1039,Olkiluoto 3,Vendor_7,Safety,P2,Closed,Inspection Overdue,Vendor Delay,06/10/2022,2022-10-05,260000,350868,90868,49.3,890.8,8,High,Compliant,,EMP679,14,AGR,P1358,460,95,63,Emergency,73.7,8,D,2.2,STUK,0,771625,Overdue,279061,8,30,urgent
WO00703,A1201,Torness,Vendor_9,Finance,P5,Cancelled,Calibration Drift,Unknown,2024-09-15,2024-10-25,420730,500504,79774,63.2,372.9,94,High,compliant,,EMP467,15,PHWR,P1027,398,65,37,Predictive,6.0,3,B,17.68,CNSC,0,340933,Overdue,412441,1,30,await docs
WO00704,A1112,Diablo Canyon,Vendor_15,Finance,P2,Cancelled,Pump Failure,Ageing,2022-03-17,2022-03-19,251660,326967,75307,23.8,600.7,1,Critical,Non-Compliant,59.0,EMP823,27,BWR,P1045,173,57,38,Predictive,67.8,8,C,8.37,ONR,0,841385,Paid,257809,4,180,repeat issue 
WO00705,A1117,Diablo Canyon,Vendor_1,Maint,P1,Cancelled,Calibration Drift,Human Error,2022-10-26,2022-12-16,278212,355622,77410,52.8,639.4,78,High,Pending,,EMP941,9,PWR,P1433,224,64,41,Preventive,23.9,3,A,4.65,NRC,0,905238,Pending,316035,9,365,await docs
WO00706,A1128,Olkiluoto 3,Vendor_13,Safety,P5,Closed,Sensor Fault,Unknown,2023-08-13,2023-08-15,351346,390683,39337,35.0,229.4,13,Critical,Non-Compliant,96.0,EMP647,26,SMR,P1295,352,117,4,Preventive,79.6,4,B,17.24,NRC,0,304362,Paid,345852,6,180,
WO00707,A1055,Bruce A,Vendor_11,Maint,P1,Open,Calibration Drift,Design,2025-01-31,2025-03-10,266901,278211,11310,57.8,800.7,36,Critical,Pending,79.0,EMP619,24,BWR,P1356,247,79,78,Predictive,68.4,7,C,7.87,ONR,0,200570,Overdue,251880,4,180,
WO00708,A1066,Bruce A,Vendor_28,Safety,P2,In Progress,Valve Leak,Ageing,2022-03-21,2022-04-07,199608,290350,90742,73.1,583.2,25,Critical,Pending,,EMP325,16,AGR,P1337,60,10,75,Emergency,39.3,3,D,1.9,CNSC,0,955050,Paid,197796,7,90,N/A
WO00709,A1255,Bruce A,Vendor_3,Procurement,P1,In Progress,Inventory Shortage,Design,31/08/2022,2022-10-18,178572,264135,85563,85.3,298.5,28,Critical,Non-Compliant,,EMP398,39,PWR,P1211,252,89,24,Preventive,49.7,4,B,16.04,STUK,0,385485,Paid,178824,4,30,repeat issue 
WO00710,A1189,Diablo Canyon,Vendor_19,Maint,P3,Closed,Sensor Fault,Vendor Delay,2024-07-15,2024-09-10,242027,316146,74119,81.2,738.3,44,High,Compliant,,EMP699,12,SMR,P1486,135,24,86,Predictive,29.3,3,C,1.17,CNSC,26386,381056,Pending,279843,11,30,N/A
WO00711,A1167,Torness,Vendor_11,Ops,P4,Closed,Valve Leak,Unknown,27/04/2023,2023-05-13,257160,228979,-28181,72.9,833.9,28,Critical,Pending,90.0,EMP907,32,PWR,P1264,160,17,3,Corrective,77.9,1,B,6.89,CNSC,29028,360384,Paid,290217,2,90,urgent
WO00712,A1002,Torness,Vendor_27,Maint,P1,Closed,Inspection Overdue,Vendor Delay,2023-03-01,2023-03-10,395971,409824,13853,15.5,832.7,73,Low,Compliant,,EMP318,20,PWR,P1093,293,53,48,Corrective,50.7,8,C,12.84,STUK,0,439650,Overdue,415852,1,180,
WO00713,A1170,Sizewell B,Vendor_5,Ops,P5,Closed,Inspection Overdue,Human Error,09/10/2023,2023-11-16,482587,597953,115366,-0.1,883.4,88,High,compliant,,EMP697,39,BWR,P1391,390,98,14,Predictive,43.5,3,D,2.26,STUK,0,732156,Overdue,513623,7,90,repeat issue 
WO00714,A1059,Heysham 1,Vendor_9,Safety,P3,Cancelled,Sensor Fault,Vendor Delay,17/06/2024,2024-07-19,387467,383529,-3938,21.1,99.7,95,Medium,Compliant,98.0,EMP313,9,PWR,P1475,172,94,52,Corrective,61.1,8,C,8.5,CNSC,22763,82438,Paid,432759,2,90,
